Datetime,Open,High,Low,Close,Volume
2024-02-12T09:15:00+05:30,21800.8,21830.55,21764.6,21823.25,0
2024-02-12T09:20:00+05:30,21822.6,21823.9,21772.65,21776.35,0
2024-02-12T09:25:00+05:30,21776.4,21805.3,21765.85,21801.0,0
2024-02-12T09:30:00+05:30,21800.95,21810.1,21787.45,21799.6,0
2024-02-12T09:35:00+05:30,21800.5,21817.25,21783.6,21783.6,0
2024-02-12T09:40:00+05:30,21784.05,21786.15,21739.3,21744.65,0
2024-02-12T09:45:00+05:30,21743.85,21748.6,21731.15,21734.55,0
2024-02-12T09:50:00+05:30,21734.75,21757.8,21726.75,21741.05,0
2024-02-12T09:55:00+05:30,21741.55,21741.55,21719.35,21722.9,0
2024-02-12T10:00:00+05:30,21723.7,21727.0,21690.1,21720.15,0
2024-02-12T10:05:00+05:30,21720.6,21727.75,21684.8,21684.8,0
2024-02-12T10:10:00+05:30,21687.0,21707.3,21672.9,21690.25,0
2024-02-12T10:15:00+05:30,21690.0,21716.5,21675.85,21702.1,0
2024-02-12T10:20:00+05:30,21702.95,21707.5,21655.5,21655.75,0
2024-02-12T10:25:00+05:30,21654.55,21665.45,21629.55,21661.85,0
2024-02-12T10:30:00+05:30,21662.05,21677.35,21648.3,21664.5,0
2024-02-12T10:35:00+05:30,21665.15,21683.55,21660.15,21675.45,0
2024-02-12T10:40:00+05:30,21674.95,21682.05,21663.35,21678.25,0
2024-02-12T10:45:00+05:30,21677.85,21685.2,21665.4,21668.0,0
2024-02-12T10:50:00+05:30,21667.85,21681.0,21654.35,21679.3,0
2024-02-12T10:55:00+05:30,21679.35,21693.25,21664.2,21693.2,0
2024-02-12T11:00:00+05:30,21693.45,21701.0,21678.35,21678.35,0
2024-02-12T11:05:00+05:30,21677.1,21709.45,21673.7,21708.25,0
2024-02-12T11:10:00+05:30,21707.3,21719.1,21702.35,21717.3,0
2024-02-12T11:15:00+05:30,21717.15,21725.8,21700.75,21708.75,0
2024-02-12T11:20:00+05:30,21708.45,21721.1,21702.4,21719.75,0
2024-02-12T11:25:00+05:30,21718.95,21723.45,21709.6,21720.2,0
2024-02-12T11:30:00+05:30,21720.7,21728.25,21705.05,21710.55,0
2024-02-12T11:35:00+05:30,21710.65,21712.7,21692.05,21702.25,0
2024-02-12T11:40:00+05:30,21700.8,21706.15,21690.75,21694.9,0
2024-02-12T11:45:00+05:30,21694.5,21695.6,21684.8,21685.75,0
2024-02-12T11:50:00+05:30,21684.15,21687.8,21673.6,21683.9,0
2024-02-12T11:55:00+05:30,21683.75,21692.9,21673.0,21686.2,0
