Datetime,Open,High,Low,Close,Volume
2024-02-12T09:15:00+05:30,21800.8,21825.1,21782.95,21789.4,0
2024-02-12T09:16:00+05:30,21788.65,21788.65,21764.6,21767.3,0
2024-02-12T09:17:00+05:30,21765.9,21780.45,21765.9,21771.8,0
2024-02-12T09:18:00+05:30,21772.65,21796.45,21769.7,21794.55,0
2024-02-12T09:19:00+05:30,21796.75,21830.55,21794.35,21823.25,0
2024-02-12T09:20:00+05:30,21822.6,21823.9,21809.8,21811.3,0
2024-02-12T09:21:00+05:30,21811.05,21812.15,21804.25,21806.95,0
2024-02-12T09:22:00+05:30,21804.5,21808.75,21795.35,21796.25,0
2024-02-12T09:23:00+05:30,21797.55,21797.65,21772.65,21788.25,0
2024-02-12T09:24:00+05:30,21787.5,21787.55,21776.35,21776.35,0
2024-02-12T09:25:00+05:30,21776.4,21785.1,21766.5,21766.9,0
2024-02-12T09:26:00+05:30,21765.85,21780.35,21765.85,21775.1,0
2024-02-12T09:27:00+05:30,21774.4,21780.85,21771.55,21772.5,0
2024-02-12T09:28:00+05:30,21773.3,21784.1,21772.4,21784.1,0
2024-02-12T09:29:00+05:30,21784.05,21805.3,21784.05,21801.0,0
2024-02-12T09:30:00+05:30,21800.95,21808.8,21799.35,21807.85,0
2024-02-12T09:31:00+05:30,21808.7,21810.1,21801.3,21802.2,0
2024-02-12T09:32:00+05:30,21801.85,21805.8,21797.75,21801.8,0
2024-02-12T09:33:00+05:30,21801.45,21802.9,21788.65,21789.5,0
2024-02-12T09:34:00+05:30,21787.45,21801.65,21787.45,21799.6,0
2024-02-12T09:35:00+05:30,21800.5,21813.9,21800.5,21813.9,0
2024-02-12T09:36:00+05:30,21814.2,21817.25,21803.2,21804.65,0
2024-02-12T09:37:00+05:30,21805.3,21811.05,21803.55,21805.95,0
2024-02-12T09:38:00+05:30,21807.35,21807.35,21800.0,21801.45,0
2024-02-12T09:39:00+05:30,21802.35,21805.15,21783.6,21783.6,0
2024-02-12T09:40:00+05:30,21784.05,21786.15,21741.1,21754.15,0
